Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
TEB7BH8VVT,2025-05-11 00:00:00.000,,Completed,,-200.0,7.0
TEB7BH8VVT,2025-05-11 00:00:00.000,Credit,Completed,207.0,,207.0
TEB3BH1NMJ,2025-05-11 00:00:00.000,,Completed,,-200.0,0.0
TEB0BH1WHW,2025-05-11 00:00:00.000,,Completed,200.0,,200.0
TEB5BBCTO3,2025-05-11 00:00:00.000,,Completed,,-348.0,0.0
TEB5BBCTO3,2025-05-11 00:00:00.000,Credit,Completed,348.0,,348.0
TEB8BB5M2C,2025-05-11 00:00:00.000,,Completed,,-400.0,0.0
TEB3BB5O93,2025-05-11 00:00:00.000,,Completed,400.0,,400.0
TEB6ASO9K0,2025-05-11 00:00:00.000,,Completed,,-5.0,0.0
TEB6ASO9K0,2025-05-11 00:00:00.000,,Completed,,-500.0,5.0
TEB6ASO9K0,2025-05-11 00:00:00.000,Credit,Completed,505.0,,505.0
TEB8ASIVGA,2025-05-11 00:00:00.000,,Completed,,-100.0,0.0
TEB5ASJ1ZH,2025-05-11 00:00:00.000,,Completed,100.0,,100.0
TEB7ASAH43,2025-05-11 00:00:00.000,,Completed,,-300.0,0.0
TEB1ASAACV,2025-05-11 00:00:00.000,,Completed,300.0,,300.0
TEB7AI536P,2025-05-11 00:00:00.000,,Completed,,-140.0,0.0
TEB7AI536P,2025-05-11 00:00:00.000,Credit,Completed,140.0,,140.0
TEB6ABXD4U,2025-05-11 00:00:00.000,,Completed,,-29.0,0.0
TEB6ABXD4U,2025-05-11 00:00:00.000,,Completed,,-350.0,29.0
TEB6ABXD4U,2025-05-11 00:00:00.000,Credit,Completed,379.0,,379.0
TEB5A4PUN3,2025-05-11 00:00:00.000,,Completed,,-30.0,0.0
TEB5A4PUN3,2025-05-11 00:00:00.000,Credit,Completed,30.0,,30.0
TEA17ZY267,2025-05-10 00:00:00.000,,Completed,,-100.0,0.0
TEA17ZY267,2025-05-10 00:00:00.000,Credit,Completed,100.0,,100.0
TEA37UNO9P,2025-05-10 00:00:00.000,,Completed,,-40.0,0.0
TEA37UNO9P,2025-05-10 00:00:00.000,Credit,Completed,40.0,,40.0
TEA27UGHCA,2025-05-10 00:00:00.000,,Completed,,-45.0,0.0
